productname,originalprice,offerprice,discount,reviews,offer,Discount_Range,Review_Length,Discounted_Price_Percentage,Cluster,Sentiment
Biotique Bio Green Apple Shampoo,223,190,15,"Works well, but I've seen better.",Flat 15% off,10-20%,33,85.20179372197309,1,0.5
Biotique Bio Almond Oil,166,124,25,"Satisfied with the results, but not overly impressed.",10% off on Next Purchase,20-30%,53,74.69879518072288,2,0.75
Biotique Bio Honey Gel,476,428,10,"Satisfied with the results, but not overly impressed.",10% off on Next Purchase,0-10%,53,89.91596638655463,2,0.75
Biotique Bio Seaweed Eye Gel,197,167,15,"Fantastic product, go for it!",Free Product Sample,10-20%,29,84.77157360406092,1,0.5
Biotique Bio Orange Peel,497,398,20,It's working wonders for my skin!,Free Travel Size Product,10-20%,33,80.08048289738431,1,0.0
Biotique Bio Basil Toner,225,180,20,"It’s okay, but I wouldn’t buy it again.",Free Shipping on Orders Above ₹500,10-20%,39,80.0,2,0.5
Biotique Bio Fruit Pack,195,156,20,It's working wonders for my skin!,Free Product Sample,10-20%,33,80.0,1,0.0
Biotique Bio Basil Toner,385,308,20,Absolutely love it! Worth every penny.,Free Face Wash with Purchase of 2,10-20%,38,80.0,0,0.4625
Biotique Bio Fruit Pack,398,318,20,It's working wonders for my skin!,Free Travel Size Product,10-20%,33,79.89949748743719,2,0.0
Biotique Bio Basil Toner,109,82,25,"Works well, but I've seen better.",Combo Offer: Moisturizer + Face Wash,20-30%,33,75.22935779816514,1,0.5
Biotique Bio White Whitening Cream,171,137,20,"Decent, but it didn’t work miracles for me.",Combo Offer: Cream + Scrub,10-20%,43,80.11695906432749,2,0.16666666666666666
Biotique Bio Orange Peel,438,394,10,"Satisfied with the results, but not overly impressed.",Free Face Wash with Purchase of 2,0-10%,53,89.95433789954338,1,0.75
Biotique Bio Seaweed Eye Gel,408,306,25,"Satisfied with the results, but not overly impressed.",10% off on Next Purchase,20-30%,53,75.0,1,0.75
Biotique Bio Carrot Lotion,141,120,15,"Satisfied with the results, but not overly impressed.",Combo Offer: Cream + Scrub,10-20%,53,85.1063829787234,1,0.75
Biotique Bio Papaya Scrub,459,344,25,"Works well, but I've seen better.",10% off on Next Purchase,20-30%,33,74.94553376906318,0,0.5
